epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,43.1307,3.80202,5.9415,3.54605,0,0,0,0,5.47523,4.93131,4.20481,0.000805073,0.000805073,0.000805073
44,43.9292,3.89545,5.56338,3.26275,0,0,0,0,5.47523,4.93131,4.20481,0.00082339,0.00082339,0.00082339
45,44.7483,3.69173,5.31992,3.41282,0,0,0,0,5.51889,4.96126,4.24466,0.000841667,0.000841667,0.000841667
46,45.5608,2.94379,5.25673,3.50206,0,0,0,0,5.51889,4.96126,4.24466,0.000859905,0.000859905,0.000859905
47,46.3906,2.92286,4.49192,3.54772,0,0,0,0,5.56953,5.00887,4.29777,0.000878103,0.000878103,0.000878103
48,47.2023,3.77316,4.61587,3.48939,0,0,0,0,5.56953,5.00887,4.29777,0.000896262,0.000896262,0.000896262
49,48.0257,3.29126,5.13866,3.07575,0,0,0,0,5.61087,5.0481,4.34418,0.000914381,0.000914381,0.000914381
50,48.8252,3.34538,4.71984,3.14298,0,0,0,0,5.61087,5.0481,4.34418,0.00093246,0.00093246,0.00093246
51,49.6584,3.39413,4.7127,3.17937,0,0,0,0,5.62721,5.07375,4.36267,0.0009505,0.0009505,0.0009505
52,50.4575,3.86287,4.64956,2.92332,0,0,0,0,5.62721,5.07375,4.36267,0.0009685,0.0009685,0.0009685
53,51.2624,3.38765,5.08432,3.37703,0,0,0,0,5.62721,5.07375,4.36267,0.000986461,0.000986461,0.000986461
54,52.079,3.25577,4.83917,2.84838,0,0,0,0,5.62479,5.08446,4.35783,0.00100438,0.00100438,0.00100438
55,52.8794,3.23167,4.71541,3.26445,0,0,0,0,5.62479,5.08446,4.35783,0.00102226,0.00102226,0.00102226
56,53.6973,3.50203,5.61518,3.35332,0,0,0,0,5.62479,5.08446,4.35783,0.0010401,0.0010401,0.0010401
57,54.5238,2.87133,4.54371,3.05818,0,0,0,0,5.6139,5.08679,4.34477,0.00105791,0.00105791,0.00105791
58,55.3267,3.23875,4.52436,3.03957,0,0,0,0,5.6139,5.08679,4.34477,0.00107567,0.00107567,0.00107567
59,56.1465,3.5114,4.26407,3.01243,0,0,0,0,5.6139,5.08679,4.34477,0.00109339,0.00109339,0.00109339
60,56.9739,3.58059,4.77394,2.81474,0,0,0,0,5.68181,5.15483,4.42459,0.00111108,0.00111108,0.00111108
61,57.7671,2.8476,5.53862,2.73544,0,0,0,0,5.68181,5.15483,4.42459,0.00112872,0.00112872,0.00112872
62,58.5517,3.41608,4.73384,2.9533,0,0,0,0,5.68181,5.15483,4.42459,0.00114632,0.00114632,0.00114632
63,59.3727,3.9204,6.84827,3.2438,0,0,0,0,5.76287,5.25883,4.53601,0.00116389,0.00116389,0.00116389
64,60.1705,3.17163,4.35389,2.87867,0,0,0,0,5.76287,5.25883,4.53601,0.00118141,0.00118141,0.00118141
65,60.974,2.93349,4.76597,3.30677,0,0,0,0,5.76287,5.25883,4.53601,0.0011989,0.0011989,0.0011989
66,61.8159,3.45521,5.26363,2.86207,0,0,0,0,5.83815,5.35535,4.64972,0.00121635,0.00121635,0.00121635
67,62.605,3.90293,5.10257,2.90491,0,0,0,0,5.83815,5.35535,4.64972,0.00123375,0.00123375,0.00123375
68,63.3937,3.09195,4.65357,3.00896,0,0,0,0,5.83815,5.35535,4.64972,0.00125112,0.00125112,0.00125112
69,64.2239,3.12131,4.74112,3.14989,0,0,0,0,5.89658,5.42324,4.74501,0.00126844,0.00126844,0.00126844
