epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,60.8352,1.98942,1.99667,1.94058,0.72524,0.58965,0.72844,0.47423,1.56282,1.65061,1.84545,0.001109,0.001109,0.001109
47,62.0592,2.00551,1.88573,1.8239,0.74148,0.64016,0.72469,0.46562,1.60687,1.72957,1.88776,0.0010892,0.0010892,0.0010892
48,63.2933,1.86452,2.00989,1.86101,0.45169,0.82543,0.7206,0.39853,1.7266,1.71219,1.95015,0.0010694,0.0010694,0.0010694
49,64.4827,1.99336,1.83561,1.79414,0.63366,0.55556,0.72469,0.46316,1.67437,1.5843,1.88245,0.0010496,0.0010496,0.0010496
50,65.6809,2.02582,1.87563,1.78453,0.62686,0.66667,0.69843,0.44267,1.61614,1.63198,1.88234,0.0010298,0.0010298,0.0010298
51,66.8847,1.98541,1.80115,1.80564,0.54974,0.67922,0.72883,0.45066,1.64675,1.72514,1.90253,0.00101,0.00101,0.00101
52,68.132,1.82831,1.81242,1.74461,0.72694,0.66667,0.71074,0.43787,1.61408,1.87898,1.85765,0.0009902,0.0009902,0.0009902
53,69.3389,1.91355,1.7866,1.81858,0.71177,0.66667,0.70826,0.46462,1.56697,1.85108,1.81572,0.0009704,0.0009704,0.0009704
54,70.5466,1.82506,1.68495,1.69586,1,0.54091,0.75778,0.48174,1.63017,1.77185,1.83883,0.0009506,0.0009506,0.0009506
55,71.7443,1.93002,1.79954,1.81588,1,0.55374,0.75085,0.43308,1.68263,1.64514,1.84043,0.0009308,0.0009308,0.0009308
56,72.9881,1.78224,1.67898,1.66947,0.56175,0.85625,0.74396,0.42752,1.59676,1.63217,1.81348,0.000911,0.000911,0.000911
57,74.2034,1.88455,1.74552,1.63841,0.65199,0.77778,0.81121,0.45739,1.53984,1.59174,1.80464,0.0008912,0.0008912,0.0008912
58,75.4218,1.85746,1.63479,1.68779,0.6829,0.77778,0.81176,0.47731,1.5498,1.55078,1.80745,0.0008714,0.0008714,0.0008714
59,76.6401,1.71542,1.54466,1.654,0.67541,0.77778,0.81886,0.4811,1.58634,1.56464,1.80958,0.0008516,0.0008516,0.0008516
