epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,24.2079,5.30414,6.89545,3.85209,0,0,0,0,5.39877,4.87247,4.15145,0.0004218,0.0004218,0.0004218
32,24.7345,4.22887,6.75543,3.9562,0,0,0,0,5.39877,4.87247,4.15145,0.000429722,0.000429722,0.000429722
33,25.2761,3.40407,5.75211,4.21005,0,0,0,0,5.40587,4.87565,4.15138,0.000437248,0.000437248,0.000437248
34,25.7889,4.39481,5.66993,3.80683,0,0,0,0,5.40587,4.87565,4.15138,0.000444378,0.000444378,0.000444378
35,26.341,3.34358,5.38277,3.88756,0,0,0,0,5.40812,4.87849,4.15332,0.000451112,0.000451112,0.000451112
36,26.8651,3.32334,5.60607,3.94136,0,0,0,0,5.40812,4.87849,4.15332,0.00045745,0.00045745,0.00045745
37,27.4178,4.14614,5.88214,3.7725,0,0,0,0,5.40919,4.87839,4.15695,0.000463392,0.000463392,0.000463392
38,27.935,4.14712,5.35196,3.70323,0,0,0,0,5.40919,4.87839,4.15695,0.000468938,0.000468938,0.000468938
39,28.4777,3.03268,6.33888,3.71065,0,0,0,0,5.41831,4.88373,4.16141,0.000474088,0.000474088,0.000474088
40,29.0038,4.19436,6.76611,3.80275,0,0,0,0,5.41831,4.88373,4.16141,0.000478842,0.000478842,0.000478842
41,29.549,3.78088,6.53983,3.81246,0,0,0,0,5.42528,4.892,4.16479,0.0004832,0.0004832,0.0004832
42,30.0764,3.45577,5.31303,3.76712,0,0,0,0,5.42528,4.892,4.16479,0.000487162,0.000487162,0.000487162
43,30.6159,3.77887,5.76398,3.67135,0,0,0,0,5.43323,4.89664,4.17209,0.000490728,0.000490728,0.000490728
44,31.1336,4.15715,5.80725,3.47976,0,0,0,0,5.43323,4.89664,4.17209,0.000493898,0.000493898,0.000493898
45,31.6798,3.88115,5.54336,3.43088,0,0,0,0,5.4478,4.9096,4.18501,0.000496672,0.000496672,0.000496672
46,32.2337,3.45743,5.87707,3.69976,0,0,0,0,5.4478,4.9096,4.18501,0.00049905,0.00049905,0.00049905
47,32.7798,3.29147,4.76777,3.74681,0,0,0,0,5.46762,4.92845,4.20369,0.000501032,0.000501032,0.000501032
48,33.3077,3.88431,4.82376,3.47895,0,0,0,0,5.46762,4.92845,4.20369,0.000502618,0.000502618,0.000502618
49,33.8598,3.50201,5.36611,3.31947,0,0,0,0,5.49541,4.95584,4.23321,0.000503808,0.000503808,0.000503808
50,34.3883,3.73142,5.04742,3.34343,0,0,0,0,5.49541,4.95584,4.23321,0.000504602,0.000504602,0.000504602
51,34.9442,3.5927,4.97845,3.33034,0,0,0,0,5.5317,4.98157,4.26006,0.000505,0.000505,0.000505
52,35.4726,4.16477,5.1298,3.17899,0,0,0,0,5.5317,4.98157,4.26006,0.000505002,0.000505002,0.000505002
53,36.0037,3.20444,5.14455,3.35268,0,0,0,0,5.5317,4.98157,4.26006,0.000504608,0.000504608,0.000504608
54,36.5601,3.59101,5.1932,3.206,0,0,0,0,5.56953,5.01822,4.29977,0.000503818,0.000503818,0.000503818
55,37.0929,2.9687,4.81984,3.55114,0,0,0,0,5.56953,5.01822,4.29977,0.000502632,0.000502632,0.000502632
56,37.6276,3.66344,5.80235,3.56398,0,0,0,0,5.56953,5.01822,4.29977,0.00050105,0.00050105,0.00050105
57,38.1861,3.58637,4.94117,3.39411,0,0,0,0,5.607,5.05512,4.34065,0.000499072,0.000499072,0.000499072
58,38.7078,3.47004,4.78075,3.24554,0,0,0,0,5.607,5.05512,4.34065,0.000496698,0.000496698,0.000496698
59,39.2267,3.79903,4.59678,3.2993,0,0,0,0,5.607,5.05512,4.34065,0.000493928,0.000493928,0.000493928
60,39.787,3.91838,5.1644,3.12847,0,0,0,0,5.6322,5.08934,4.36659,0.000490762,0.000490762,0.000490762
61,40.3093,2.8886,5.51354,3.00329,0,0,0,0,5.6322,5.08934,4.36659,0.0004872,0.0004872,0.0004872
62,40.8448,3.52258,5.22673,3.30372,0,0,0,0,5.6322,5.08934,4.36659,0.000483242,0.000483242,0.000483242
63,41.3759,3.24516,6.72787,3.56073,0,0,0,0,5.63665,5.10324,4.37312,0.000478888,0.000478888,0.000478888
64,41.91,3.43955,4.58552,3.14455,0,0,0,0,5.63665,5.10324,4.37312,0.000474138,0.000474138,0.000474138
65,42.4367,2.6737,5.28724,3.46619,0,0,0,0,5.63665,5.10324,4.37312,0.000468992,0.000468992,0.000468992
66,42.9926,3.5343,5.40302,3.09563,0,0,0,0,5.64221,5.12148,4.37594,0.00046345,0.00046345,0.00046345
67,43.5163,4.28245,6.30077,3.2578,0,0,0,0,5.64221,5.12148,4.37594,0.000457512,0.000457512,0.000457512
68,44.0393,3.34275,5.04101,3.2045,0,0,0,0,5.64221,5.12148,4.37594,0.000451178,0.000451178,0.000451178
69,44.5791,3.22838,5.37013,3.38869,0,0,0,0,5.65762,5.14847,4.39201,0.000444448,0.000444448,0.000444448
70,45.0989,3.25445,4.19608,3.12704,0,0,0,0,5.65762,5.14847,4.39201,0.000437322,0.000437322,0.000437322
71,45.6261,3.1623,5.46017,3.2985,0,0,0,0,5.65762,5.14847,4.39201,0.0004298,0.0004298,0.0004298
72,46.1781,3.55013,5.57658,2.84692,0,0,0,0,5.68725,5.17478,4.42613,0.000421882,0.000421882,0.000421882
73,46.707,3.455,4.88918,3.15583,0,0,0,0,5.68725,5.17478,4.42613,0.000413568,0.000413568,0.000413568
74,47.2419,2.97049,4.61209,3.30764,0,0,0,0,5.68725,5.17478,4.42613,0.000404858,0.000404858,0.000404858
75,47.7868,2.6726,5.09326,3.28189,0,0,0,0,5.7091,5.21316,4.45324,0.000395752,0.000395752,0.000395752
76,48.3,3.4381,4.97052,3.45936,0,0,0,0,5.7091,5.21316,4.45324,0.00038625,0.00038625,0.00038625
77,48.8181,2.93237,5.38726,3.39611,0,0,0,0,5.7091,5.21316,4.45324,0.000376352,0.000376352,0.000376352
78,49.3536,3.12799,4.47336,3.04802,0,0,0,0,5.72467,5.24681,4.47613,0.000366058,0.000366058,0.000366058
79,49.8695,2.96624,4.53203,3.12337,0,0,0,0,5.72467,5.24681,4.47613,0.000355368,0.000355368,0.000355368
80,50.3878,3.06662,4.91091,3.06139,0,0,0,0,5.72467,5.24681,4.47613,0.000344282,0.000344282,0.000344282
81,50.9481,3.08382,4.24502,2.96396,0,0,0,0,5.74475,5.27501,4.50185,0.0003328,0.0003328,0.0003328
82,51.4649,3.31514,3.90764,2.95078,0,0,0,0,5.74475,5.27501,4.50185,0.000320922,0.000320922,0.000320922
83,52.0072,2.56301,4.99631,3.40074,0,0,0,0,5.74475,5.27501,4.50185,0.000308648,0.000308648,0.000308648
84,52.5819,3.54675,4.94945,3.47303,0,0,0,0,5.74556,5.28554,4.50715,0.000295978,0.000295978,0.000295978
85,53.1196,2.85429,4.3899,3.27729,0,0,0,0,5.74556,5.28554,4.50715,0.000282912,0.000282912,0.000282912
86,53.6477,3.01199,4.99301,2.82104,0,0,0,0,5.74556,5.28554,4.50715,0.00026945,0.00026945,0.00026945
87,54.1836,3.14168,4.97201,3.175,0,0,0,0,5.74556,5.28554,4.50715,0.000255592,0.000255592,0.000255592
88,54.7309,2.98806,4.68878,3.18705,0,0,0,0,5.74317,5.30486,4.50291,0.000241338,0.000241338,0.000241338
89,55.2694,2.77855,5.28822,3.35229,0,0,0,0,5.74317,5.30486,4.50291,0.000226688,0.000226688,0.000226688
90,55.7889,3.62687,4.61926,3.22106,0,0,0,0,5.74317,5.30486,4.50291,0.000211642,0.000211642,0.000211642
91,65.6388,2.96025,5.2064,3.41829,0,0,0,0,5.74317,5.30486,4.50291,0.0001962,0.0001962,0.0001962
92,66.444,2.73371,5.49031,3.13299,0,0,0,0,5.73451,5.30076,4.50977,0.000180362,0.000180362,0.000180362
93,67.0951,2.8625,5.80612,3.44017,0,0,0,0,5.73451,5.30076,4.50977,0.000164128,0.000164128,0.000164128
94,67.6419,2.59764,5.8305,3.08882,0,0,0,0,5.73451,5.30076,4.50977,0.000147498,0.000147498,0.000147498
95,68.1692,2.81587,5.6421,3.22352,0,0,0,0,5.73451,5.30076,4.50977,0.000130472,0.000130472,0.000130472
96,68.7162,2.73758,5.99197,3.304,0,0,0,0,5.71891,5.30006,4.49017,0.00011305,0.00011305,0.00011305
97,69.2631,2.81273,6.00299,3.42799,0,0,0,0,5.71891,5.30006,4.49017,9.5232e-05,9.5232e-05,9.5232e-05
98,69.7938,2.7722,5.97257,3.33578,0,0,0,0,5.71891,5.30006,4.49017,7.7018e-05,7.7018e-05,7.7018e-05
99,70.3438,2.7799,6.41429,3.61017,0,0,0,0,5.71891,5.30006,4.49017,5.8408e-05,5.8408e-05,5.8408e-05
100,70.9,2.66844,6.04249,3.21965,0,0,0,0,5.70967,5.30072,4.47585,3.9402e-05,3.9402e-05,3.9402e-05
